Dokumentname,Code,Anfang,Ende,Segment
reflection_assignment_P1,Level 4,3,3,"It also made me realise the high personal responsibility that is involved  in being a DS practitioner. I can imagine that if I stay in academia, these standards will be easier to keep, while switching  to the private sector might prove this more challenging. In the competitive business environment, many compromises  likely have to be made. Nevertheless, I hope that whenever I will be working with human-related data, I will be able  to advocate and safeguard human dignity at all costs"
reflection_assignment_P1,Level 1,3,3,"I have attended all the lectures and seven exercise sessions (exercises 1-4, 6, 8, and 11) of the HCDS course."
reflection_assignment_P1,Level 1,3,3,Together with the revision of the course material I have spent approximately 35 hours on the assignment.
reflection_assignment_P1,Level 3,3,3,"I found  useful that I needed to revise the course material and summarise the aspects that moved me most. I did not find the  given structure of the essay particularly useful as I would have rather reduced it into three phases (by integrating  phase III into the neigbouring sections). Additionally, in my case it did not feel particularly meaningful to relate to my  current DS practice."
reflection_assignment_P2,Level 1,1,1,"There should be a basic understanding of some good data science practices. Most of the existing tools and frameworks  should be aware of, and should be leveraged based on individual’s knowledge. Hence ethically using the data and the  tools and frameworks that uses the data should be supervised and understood really well. Handling private data in a  non-ethical way could create a lot of privacy issues  
"
reflection_assignment_P2,Level 1,1,1,"In this era of rapid technological development, we are living in a “Data-fied World.” Data collection is a vital part of  nearly every aspect of our lives, from the phones in our pockets to the cars we drive. Almost every human behavior and  every operation we do with a tool like a computer can be collected as data. Over the years, as technology progressed and  we aimed for a better life, we began to use data generated from day-to-day actions to conduct complex analysis with  the help of strengthened computing powers and new analytical tools. Advanced technologies related to data science,  like Machine Learning and AI, have brought a lot of benefits to our life. However, as humans begin to step away from  hands-on analysis and let automated machines do most of the work for us, different issues such as fairness, privacy, and  representation emerge"
reflection_assignment_P2,Level 2 (b),1,1,"Coming from an Insurance Background, where I had worked as an Algorithm Developer where my role was to analyze  the data of the Policy Holders and using the data, write algorithms to calculate their final premiums. As a result of 7+  years of experience, I have understood the value of private data, and how it should be handled. Working as a responsible  developer where I was given the access of the Live (Production) Environment where I could see the actual data of the  legit customers  
"
reflection_assignment_P2,Level 4,1,2,"As an when my experience grew, I started to understand the consequences of mishandling the data.  I understood a lot of things, that why the Clients would give us RSA Tokens to login, as it provided a Two Factored  Authentication, so that the customer’s data will not be breached. There has been cases, mostly from the developers who 
Fig. 1. Steps to Data Responsibility Credit : https://www.bmc.com/blogs/data-ethics-responsibility/ 
were new to the working environments, who started to giving the customers some information to their private cell  phones thinking that this could be funny, but this created a lot of huge impact, and the developer was removed from  the Organization, and also the Insurance Company had to part the ways from the Company, there were some legal  issues too. Just one person who was inexperienced in handling the data, causes Millions of Loss to one of the Big-4  companies of the world  
"
reflection_assignment_P2,Level 3,2,2,"There is a reason, all huge companies have a strong policy on security, as they are really concerned about the Client’s  data. The misuses mostly happens by young fresh graduates who are not aware of the consequences, and hence the  Data Handling Ethics should also be taught (By Giving Such Examples) in Bachelors where students understand the  value of Data Mishandling"
reflection_assignment_P2,Level 1,2,2,"The course Human Centered Data Science (From Summer Semester 2022) clearly wanted the students to focus on the  Values of Computer Ethics, Data Ethics, Machine Ethics, Information Ethics, AI Ethics and Robot Ethics. We understood a  lot of categories of the AI Principles, and the differences between Repeatability, Reproducibility Replicability"
reflection_assignment_P2,Level 2 (b),2,3,"Publishing your research openly shows that we take the responsibility of the research, even though it is wrong. We understood  greater the count of public audience, it will encourage us to reflect on our values, assumptions and thought process,  while designing and publishing the projects.   
"
reflection_assignment_P2,Level 1,3,3,"We understood the Principles of FAIR Data, where the data should be easily find-able, inter-operable, accessible and  reusable. While uploading the data, we should utilize the DOI (Digital Object Identifiers) which gives a single point of  reference, if there is something wrong in it. Before sharing any data, the data needs to be licensed, so that it allows the  creator of the data, to give other people the right to share, use and build a documentation upon the data. We learnt  about a lot of Licensing Software, and also the key principles of our reproducible workflow"
reflection_assignment_P2,Level 1,3,3,"Along with learning about the Data Upload and re-using the data, we also understood a lot of data discrimination that  the AI Models pick, as they could be Gender Biased/ Race Biased. We learnt about some frameworks that minimized the  Data Bias, and helps to not discriminate based on the gender, race, ethnicity etc. We understood the fairness matrix,  which tells us how fair the trained model is, and how bias it has created for some ethnicity, gender etc."
reflection_assignment_P2,Level 2 (b),4,4,"There are a lot of topics that I had learnt in this course, even though I come with a lot of work experience in the field of  Data Science. I was already aware of Data Privacy, and how not to mis handle data - but this course taught me a lot  more than that.  
"
reflection_assignment_P2,Level 2 (b),4,4,"To be honest I was not aware of the Bias and fairness part. The Models that are being trained forms a  bias towards a certain classification (group) of people and show a bad fairness score. I learnt about a lot of packages on  how these bias is being handled with.  
"
reflection_assignment_P2,Level 2 (b),4,4,"Along with the bias and fairness score I also learnt on the importance of licensing  the data. Licensing the data, makes you liable to any of the error in the data and hence you try to be as accurate as 
possible."
reflection_assignment_P2,Level 3,4,4,"This course will definitely play a vital role for me when I work at the industry. I’ve been learning ethics since 8 years  now, because in all big organizations you have to mandatorily finish an yearly course/certification, but coming on to  this course there are new things which I have learnt.  
"
reflection_assignment_P2,Level 3,4,4,"As mentioned in the above Phase, I have learnt 2 new things,  about Bias and Data Licensing. I work on Satellite Data, where we do not have any information about the people and  thus there would not be any bias (But still would keep this in mind for the future)"
reflection_assignment_P2,Level 3,4,4,"Coming onto the data licensing,  since I have to manually crop a lot of Satellite Images (Sentinel, Landsat), I have personally created a lot of data (And  their labels). I have uploaded them in the Kaggle platform, and other GitHub pages. Now I would really love to explore  the Data Licensing part, as through this I would be more precise in generating the data, and my data can be reused by  many more people. Any misinformation will come back to me as there is one reference point for the data which I have  created"
reflection_assignment_P2,Level 2 (b),4,4,"Through this paragraph I would like to conclude my thinking towards the course Human Centered Data Science SS - 2022.  For me the Course for Partially Helpful as I mentioned a couple of times that I have been learning these things for past  8 years through the Organizations where I have worked in the past.  
"
reflection_assignment_P2,Level 3,4,4,"Rather than keeping this as a mandatory module  for Data Science Masters Course, this could be kept as an elective, as most of the people who have good number of  work experience are already aware of many things which were taught in the course. The assignments were really well  structured and caught us well since the basics (Helped People who are new to Data Science and Python Language). The  GitHub was amazingly well structured, and maintained. The Wiki section really helped us to pick up the assignments,  and there were rarely any questions in our mind.  
"
reflection_assignment_P2,Level 3,4,4,"There were few assignments where the packages were really old, outdated, and we had to spend a lot of time on those,  and instead of asking to implement 4-5 algorithms, may be implementing one of them could be more beneficial, as we  would get more time to explore research papers, materials to go through and understand more rather than focusing  on the deadline and just coding without having a gist of what is happening.  
"
reflection_assignment_P2,Level 3,4,4,"My suggestion would be to give students  more of literature to read, and then ask them write reflection or programming assignments on top of it. This way the  students will understand the fundamentals of what they are going to implement and how addition of real use cases are  the best way to explain students.  
"
reflection_assignment_P2,Level 2 (a),4,4,"Apart from these, the course was really nice, and thank you for the amazing assignment organization on GitHub,  and the Reflections"
reflection_assignment_P3,Level 2 (a),1,1,"It is a challenge to practice data science without proficient background knowledge of computer science. As graduated  from social science and economics, I can be the prototype for the young data scientist these days who does not have  enough technical skills but only full of passions. It is true that there are many candidates for the data science field,  especially new major related to data science has been established from university and the administration department  takes long time to review the potential students and decide the best fit for their university. However, this field did not  just pop up rather it is more appropriate to say that the deep discussion and study of data science have been proceeded  recently  
"
reflection_assignment_P3,Level 2 (b),1,1,"Data has been piled up since personal computer was commercialized but there was not enough knowledge  and technical skills to handle and analyze it. After decades, finally the desire to manage the big dataset could be  satisfied with the improve technology and the demand from society. This is also one of the reasons why I decided to go  graduate school. When first entering the university, my major was only about social science, public administration but  after studying for a year I found out that there’s not many analytic skills included in the coursework that I can apply  to comprehend the society. With the idea to obtain tools, I double majored in economics  
"
reflection_assignment_P3,Level 2 (b),1,1,"As being open to quantitative  analysis with economic study, I found out that there should be computational work added when deriving my study.  That ended up going to graduate school in data science which combines mathematical understanding of the world  and derive the results from implementing the idea in computer"
reflection_assignment_P3,Level 3,1,2,"Likewise, I’ve had solid idea to study my master study  however, it is not easy to maintain the pure passion because of the shortage of computational skills which results in  shallow study. For example, in the first semester I took “Machine Learning for Data Science” course which covers the  general study of machine learning including theory, implementation, and report. While doing project, it took more time  for me to implement ideas into codes, the work I’ve submitted omitted discussion about the process I made. There was  not sufficient reason why I chose specific ML model, the order of project procedure, and the method of preprocessing  data. This ended up making a shallow implementation work which any computer scientist would have been able to finish much faster. The difference between the computer science and data science is whether we focus on the analytic  skills or the analysis of the result. Unlike the computer science, data science could provide the deeper understanding  of any field of study which is sparkling part of this field that does not develop inside of the field rather connects and  cooperate with the other fields so that boost their improvement as well. However, what I had been doing was was  treating data science as the “black-box”, which is considered to be risky and did not give meaningful reason why there  should have been data science to solve a problem. "
reflection_assignment_P3,Level 2 (b),2,2,"After finishing the first semester with all mandatory courses, I  needed to study what lacks in study next semester. The main reason to sign up this course was to obtain the critical  tool to review my work and furthermore, explain the work to the others including non-specialists. I cannot agree more  that it is important to be able to communicate with the people about the work who is not scientists because this data  science is handling the data to get better comprehension of the world. Because the human-data science discuss how  should we treat the technical tool and let the others understand the work even without the knowledge of professional  skills, taking the course was inevitable."
reflection_assignment_P3,Level 3,2,2,"Human centered data science connects human handler with the automated machine that they are dealing with. Due to  the automated feature of machine learning, human can be easily detached from the process of it while only intervening  the start and the end of data analysis. However in this sense, data analysis would not be able to be accounted since  there is no human-decision process involved and it would be vague that if this can be considered as ”analysis” or  just acceptance of the result of computation from machines."
reflection_assignment_P3,Level 1,2,2,This course let the scientists to be responsible for the  machine learning process and prove the algorithms they used are accountable.
reflection_assignment_P3,Level 2 (a),2,2,"The course introduces how unreliable  the machine learning can be by introducing bias and discrimination in data science. Bias and discrimination can be  differentiated with the question if it is a social phenomenon or not. When talking about the bias, human centered  discussion treats it as a fact that there is an imbalance in dataset which would harm the logical derivation from the  machine learning. However, discrimination is the attribute that people with the biased idea have an impact in a society  which causes inequality inside of it. Interesting fact that I learned about this topic is that there are types of biases  which can explain how they are built. Data bias finds the reason how it is created from the data itself before they are  even used for analysis which could be constructed by the normative standard that people share. Bias is also created  while sampling procedure that they were collected for the analysis. Data processing bias talks about the construction  of imbalanced dataset when annotating data or sacrificing integrity of it while aggregating it. These data of different  types can be mitigated by some of the methods with the notion of making balanced dataset. The point is to provide  the context to data for scientist and the users who are not specialists."
reflection_assignment_P3,Level 1,2,2,"When the bias and discrimination has been dealt  at most in the data, it is the time to prepare reproducing data. The reason why this step is required is that it can show  the accountability of the scientist that they are transparent and responsible about their scientific work. Following the  FAIR principles, scientist are required to consider following points for support reproducing it: using data, sharing the  research, understanding the research. These points could be considered in any step of workflow of data science for  example in data acquisition, data processing, and data analysis. Each practice of how scientist can consider can be  given in example, like during the data processing, we need to give the label with appropriate names so that multiple  coders who will be reading it can understand it better. Also to make the data science work automated is also important  because the manual work on the data can easily ruin the integrity of the original research"
reflection_assignment_P3,Level 1,2,3,"With the balanced data and  the preparation for the reproducing it, the scientist needs to consider the interpretability and explanations of the work.  These two terms are better to be differentiated by interpretation referring to the understanding between the stakeholder and the ML while the explanations dealing the interactions between the scientist and the ML. First of all, explanation  is a mechanism to establish post-hoc interpretability. After the training of machines and the result of it, scientists has  been left with the duty to explain it to the stakeholders. Depending on the characteristics of audience that they are  meeting, there are different contexts and strategies required for the explanations. For example, if it is among the peer  scientists, the explanations would be more about to validate the training and test results like giving the workflow  how one prediction has been derived by analyzing the impact factor percentages of the predictions. However, if it  is a presentation for the investor, the contents must be focused on the aggregate graphs about the total predictions  and the relations between the problems assigned. Therefore we can summarize this concept to the expert, user, and  target mental model for explanations. Using the questions suggested from the mental models, the explanations of ML  can be integrated and more connecting between the audience and scientists. Likewise, the interpretation from the  stakeholders to the explanation from scientists also consider the human processing of information. Considering the  nature of the problems the the people encounter, different algorithms would be work to interpret it. Therefore the  task for the scientist is to intervene the interpretation process and make sure that it is done effectively, and one of  the method is suggested as ’Cognitive forcing function’. Applying this to the interpretation, scientist can make the  decision makers to engage analytically in decision making."
reflection_assignment_P3,Level 2 (b),3,3,"As mentioned above, before taking this course, the field human-centered data science is completely new so that there  was not a process for comparison between what I expected and learnt from the course. However, the terms obtained  from the course have now deeper understandings. For example, the reproducibility are differentiated with repeata-bility and replicability in the data science field. It is common that people use the three terms without differentiation.  Depending on the coherent machines or methods used, the term is divided with different meanings.  
"
reflection_assignment_P3,Level 1,3,3,". Also, the bias and  discrimination have different meanings which are reasonable. Unlike the bias, discrimination is a behavioral social  phenomenon that occurs based on the biased idea"
reflection_assignment_P3,Level 3,3,3,"To talk about how this achievement of new terms and knowledges  are applied during the data science, I would like to start it with the tasks given with south german credit data. The  data consists of financial and non-financial attributes of the customers for independent variables and the loan credits  for dependent variables. First of all, we were required to practice reproducibility while doing the analysis. From the  lectures, the reproducibility should be considered in the entire workflow of analysis which are data acquisition - data  processing - data analysis. In this task, as we were already given data, the part of data acquisition could not be modified.  But during the data processing what we have done was to change the column name to start with. The reason behind  this is because us as data scientists could not understand the column values with German column names and also, for  more scientist to reproduce it in their local environment, it is better to be translated. Also, during the whole process  except for translating german column name to english column we did not make any manual work which would ease  the reproducibility of work. What we could have done but did not was to script library used and methods for feature  engineering used, which would help the next scientists to understand the nature of the work. Also in the data analysis  step, there was no mention about the reason behind choosing a ML model and no representation of head rows of final  table after analysis which both could give more accountability of our project"
reflection_assignment_P3,Level 1,3,4,"Next, the fairness is also considered dur-ing the process. In data processing, we chose stratified sampling method so that as to keep the class ratios and resist  sampling bias. This is one of the type of bias mitigation which belongs to ’pre-processing’ related to data acquisition  and data processing steps. Also, by comparing the result between the dataset with and without ’PersonalStatus’ which  is about the sex and marriage status of the customer also shows the effort to check the balance of the dataset which leads to fairness of the analysis."
reflection_assignment_P3,Level 2 (b),4,4,"After the practice for reproducibility and fairness, we are given tasks for explanation  with LIME. This is one of the method that connects specialists and non-specialist as it bridges the gap with minimum  need for technical skills and explain the machine learning model work by specific standards. When I first learnt this  tool from the lecture, it was very new and interesting as it is coherent with the goal of the data science and the process  of it which is to analyze the phenomenon and gives contexts for the non-professionals to understand it together. LIME  could provide the information about the model validity, identifying complex models which would be a source for ex-plaining it to the stakeholders. Aggregating the practices experienced, I felt like given standards to be critical scientist."
reflection_assignment_P3,Level 2 (b),4,4,"Before the course, the machine learning is also closer to black box for me because there was not much critical thinking  involved in each step while replicating the other’s data science work with another dataset that I have. But as learning  each step of the workflow there are several points to be concerned, applying those tools would help me produce more  accountable work."
reflection_assignment_P3,Level 1,4,4,"With the information and knowledge I obtained in this course, I am able to analyze my past works with critical stan-dards and imagine how to improve it."
reflection_assignment_P3,Level 3,4,4,"One of my projects was natural language processing about the reflective texts  of students after learning experience. Due to the time constraints at that time, it was not made solid as expected. Pur-suing fairness of the analysis is one of them. The text data for analysis has been generated by human-labeling step  which was annotation of the stage of the sentence in reflection. One sentence was supposed to be annotated by 0 to  5 which represents the stage in reflective cycle. In that process, structured content analysis could help bias mitiga-tion. My teammates are given the same guideline texts and reference for the reflective cycle so that we were given  ”coding scheme”. But there was no calculation about the inter-annotator agreement or inter-rater reliability, which I  can imagine it improve the reliability of the work"
reflection_assignment_P3,Level 3,4,4,"Also to consider the reproducibility of the work, I could add more  comment and markdowns on the code file. Considering the support for using data, it is necessary to explain the data  and how the annotation has been proceeded probably inside of READme file. Also there was not many descriptions  about which libraries are used and chosen, adding those information in the markdown will help the other scientist to  understand and reproduce it in their local environment"
reflection_assignment_P3,Level 3,4,4,". I would like to add these because explanations help not only  the comprehension of the project but it also gives more reliability and accountability as the scientist who created the  project is being more responsible for their own work. Also for the explainability and interpretability, I would like to  adopt LIME and find out how the prediction of class labels has been made. Which words or contexts contributed the  most for classification would foster the understanding of the NLP model used and evaluate the model performance."
reflection_assignment_P3,Level 2 (b),4,4,Because the result of this project - building prediction model for classifying sentences was not effective because the  accuracy of models were always below 70 percents.
reflection_assignment_P3,Level 1,4,4,Also the potential users of the service made out of this prediction  model are teachers who would find out each student’s learning experience by checking their achievements up to which  reflective cycle they are based on the reflective writings. This would make manual work from teachers way less and  they can use their time to another tasks.
reflection_assignment_P3,Level 2 (a),4,4,To finishing this reflective assignment actually was effective to wrap  up what I learned from the course
reflection_assignment_P3,Level 1,4,5,"Unlike the format of programming assignments is familiar with, the tasks I needed to achieve was different from what data science project usually require. Therefore, the conversion of focus made it hard  to focus on the lecture contents but put more time to solve the problem suggested"
reflection_assignment_P3,Level 1,5,5,". While doing this essay assignment,  I reviewed all the lectures and assignments from my team and now I can picture the whole structure of this course."
reflection_assignment_P3,Level 2 (a),5,5,"Besides reviewing the contents, because the reflection included the action plan section, I could develop some strategies  that I can use for my next project."
reflection_assignment_P3,Level 2 (b),5,5,"Additionally, The course itself was helpful for the scientist like me who have not  experienced much yet so that the goal of the work can be easily distracted to just finish the task. Because the course  provided the tools to critically check their work in the entire workflow so that the result of analysis could be more  accountable"
reflection_assignment_P3,Level 3,5,5,"However, the programming assignments would be better to achieve by individuals. Because the tasks  given could not be really separated in phases but it is required to be done with the whole process together. In that  sense, team work was difficult because there is no task divided. In the last two weeks, assignments were given with  sub-tasks which were helpful for the team to work together with divided tasks."
reflection_assignment_P4,Level 1,1,1,"Data Science from an ethical point of view is becoming an important topic of discussion in the present times. All  companies and organizations must follow some ethical principles while using data and implementing data science  methods. When used properly, the power of data science can help make improve decision-making processes and make  a difference in the world. This course aimed to help students learn good data science practices and the impact these  technologies can have on the society we live in.  
"
reflection_assignment_P4,Level 2 (b),1,1,"I didn’t have any Data Science experience before coming to this master’s degree. I graduated as a Computer Scientist and 
have worked as a Developer for the past year. Hence, I am used to thinking as a developer not as a Data Analyst/Scientist. 
What I mean by that is that, as I was changing my career path, I also had to change my mindset or approach to different  problems. My approach was fairly simple and somehow similar to each task. The main focus was finishing in due time  and optimizing the solution without much reason on why the task was important. However, what I soon realized is that  to become a Data Scientist I had to add another step on my thought process, which is Analyzing the problem.  
"
reflection_assignment_P4,Level 2 (a),1,1,"In addition to completing my master’s, I was also lucky to find work as a working student Data Science consultant  which is helping me get a better view and understanding of the field. The problems I work with are not Human Centered  but there are still some concepts I learned over this course that I face daily like Reproducibility or Explainability. 
1  
"
reflection_assignment_P4,Level 1,2,2,"The course had many objectives to achieve in one semester. The core objective was focused on the fundamental  principles of Data Science in its Human implications, including important topics such as fairness, transparency,  privacy, accountability, etc. Besides learning the Ethical point of view of Data Science we indirectly got to learn some  communication skills. The course was very revolved around active participation, resulting in discussions during lectures  and as such, improving our oral skills and brainstorming capabilities."
reflection_assignment_P4,Level 2 (b),2,2,"I truly enjoyed this course for the easy fact that it showed realistic expectations of a Data Science role in real life. As I  said before, dealing with Data Science practices was something that I had not faced before coming to my master’s degree.  I had taken some online courses, but they don’t necessarily show the true hardships and obstacles a Data Scientist  has to pass on a daily basis."
reflection_assignment_P4,Level 2 (b),2,2,"I believe, and we also discussed this during the Seminars, that the most time-draining  and important activity of a Data Scientist is preparing the dataset in order to start analyzing and modeling. Online  courses and most of the courses in the University sort of neglect this part by giving the dataset already prepared and  with the correct data, which I believe is a wrong practice."
reflection_assignment_P4,Level 3,2,2,"Although this was not the main topic of this course, the  most important lesson I learned is to approach everything with a skeptical attitude. I learned this during one of the  Seminar projects we had to read a paper regarding a German Credit dataset. After submitting the project with my team,  I found out during the next seminar that not only the dataset, but also the paper was wrong. Before this event, I had not  thought that this could happen, and I would trust the results of scientific papers without questioning them. However,  now I know important concepts such as Replicability and Reproducibility so I can make sure that I don’t make the same  mistakes again.  
"
reflection_assignment_P4,Level 2 (b),2,2,"I believe that it’s easier to understand the concerns that misapplying Data Science practices represent using a Case  Study. I am going to take an example published by Princeton University that tackles some of the most important  lessons I learned during this course[1]. This case study illustrates the use of Data Science to find the reasons for the  high drop-out rate of Minerva University. Data Science is the best choice for finding patterns and providing effective  decisions using different statistical and predictive techniques. Therefore, the University cooperated with an external  Data Science company and provided them with an extensive amount of data on students like their behavior, academic  performance, attendance, and many more.  Although the company managed to create a model and find some clues on why the drop rate was so high, there were  some crucial ethical concerns that were not kept in mind. Privacy and security are two of the largest ethical problems  in the field of data science. Privacy means being able to control where and how your personal information is used. The  university had failed to inform the parents of this project and how their children’s data was going to be used, resulting  in a violation of privacy.  Another considerable ethical concern is discrimination and bias highlighted in the algorithms. The results generated  from the external company gave rise to some sensitive discussions. The students were not happy to be treated as research  subjects and to be compared among each other. Teachers said their experience was not being interpreted correctly by  the system. Furthermore, there was a lack of transparency in the model created that should be minimized by providing  access to the algorithm functionalities.  
"
reflection_assignment_P4,Level 1,2,3,"Finally, nowadays is becoming progressively important the Explainability of  machine learning algorithms. On many occasions, the machine learning models are treated as black boxes, especially in  complex Neural Networks. This results in not understanding the reasons behind the decision-making of the model.  Model interpretability is increasingly becoming more important, not only because of accountability but also to have actual facts and confidence on why the predictions make sense. All these problems can be solved and whilst the result  produced will be a less accurate model, it enables the Data Scientist to generate a model without violations."
reflection_assignment_P4,Level 3,3,3,"The entirety of this course changed the way I approach projects. The primary concern of each project is understanding  the problem and the target. Before this course, my main focus was on creating the best model with the highest accuracy  and lowest overfitting coefficients. However, now I understand that, while algorithms are typically performed in a way  beneficial for the world, there are also ethical issues that need to be considered.  Now I tend to analyze a project before making any programming steps, especially in a sense of checking about fairness  or bias. Obviously, this is just a first step and there are statistical ways for finding bias or fairness. One which we learned  during the seminar was to check the model’s prediction accuracy while interchanging sensitive features like gender. If  the accuracy changes if we change the gender feature, we can confidently say that the model is biased."
reflection_assignment_P4,Level 3,3,3,"As I mentioned before, I believe that the most important lesson I learned is to take everything with a grain of salt,  which essentially boils down to actively thinking (reflecting) about every part of the project.  
"
reflection_assignment_P4,Level 4,3,3,"The first concern, to begin  with, is to check whether the dataset is correct and have a clear understanding of it. What I also feel is important is the  impact the project can have on a population or worldwide if it’s a big project. Morality is very important to me, and I  don’t want to be part of a team that doesn’t consider the outcome of their work.  
"
reflection_assignment_P4,Level 3,3,3,"The next steps would be working diligently and trying to avoid as much bias as possible and making the model fair by  removing sensitive variables or features. Furthermore, the model needs to be explainable so that we understand the  decision-making process of the algorithm. This also serves as another step for mitigating bias.  
"
reflection_assignment_P4,Level 3,3,3,"Aside from learning the ethical point of view of Data Science, we additionally learned how important good documentation  is and making the project reproducible.  
"
reflection_assignment_P4,Level 3,3,3,"I believe this is a huge improvement in my Data Science practice. Although  it is much more work, the result feels more genuine and something to be proud of, which is great as we have to be  accountable for every project we make."
reflection_assignment_P4,Level 2 (a),3,3,"There is no doubt that data is an immense resource that we can all benefit from. However, it is important that we  maintain an ethical mindset at all levels."
reflection_assignment_P4,Level 2 (a),3,3,"This course helped me get a better insight into the world of data science. I  hope that I get to experience more courses that show real-life examples and experiences with different problems to  overcome instead of artificially prepared school exercises  
"
